RefreshRate:,59.8854,,,,
Experiment duration (us):,1126129799,,,,
Trial,Condition number,Condition name,Duration (us),Duration (frames),Error timing flag (1 if trial is compromised)
120,16,Contrast 100, Direction 225,4174565,250.00,
121,1,Contrast 100, Direction 0,4174575,250.00,
122,23,Contrast 50, Direction 315,4174568,250.00,
123,14,Contrast 50, Direction 180,4174568,250.00,
124,5,Contrast 50, Direction 45,4174568,250.00,
125,14,Contrast 50, Direction 180,4174568,250.00,
126,21,Contrast 25, Direction 270,4174568,250.00,
127,5,Contrast 50, Direction 45,4174576,250.00,
128,13,Contrast 100, Direction 180,4174567,250.00,
129,14,Contrast 50, Direction 180,4174568,250.00,
130,3,Contrast 25, Direction 0,4174567,250.00,
131,14,Contrast 50, Direction 180,4174569,250.00,
132,15,Contrast 25, Direction 180,4174568,250.00,
133,7,Contrast 100, Direction 90,4174568,250.00,
134,24,Contrast 25, Direction 315,4174575,250.00,
135,1,Contrast 100, Direction 0,4174568,250.00,
136,12,Contrast 25, Direction 135,4174576,250.00,
137,1,Contrast 100, Direction 0,4174568,250.00,
138,18,Contrast 25, Direction 225,4174568,250.00,
139,15,Contrast 25, Direction 180,4174566,250.00,
140,24,Contrast 25, Direction 315,4174568,250.00,
141,20,Contrast 50, Direction 270,4174567,250.00,
142,7,Contrast 100, Direction 90,4174568,250.00,
143,17,Contrast 50, Direction 225,4174568,250.00,
144,12,Contrast 25, Direction 135,4174574,250.00,
145,20,Contrast 50, Direction 270,4174568,250.00,
146,19,Contrast 100, Direction 270,4174567,250.00,
147,6,Contrast 25, Direction 45,4174567,250.00,
148,2,Contrast 50, Direction 0,4174569,250.00,
149,22,Contrast 100, Direction 315,4174568,250.00,
150,20,Contrast 50, Direction 270,4174568,250.00,
151,11,Contrast 50, Direction 135,4174569,250.00,
152,1,Contrast 100, Direction 0,4174575,250.00,
153,2,Contrast 50, Direction 0,4174575,250.00,
154,6,Contrast 25, Direction 45,4174577,250.00,
155,23,Contrast 50, Direction 315,4174568,250.00,
156,23,Contrast 50, Direction 315,4174567,250.00,
157,17,Contrast 50, Direction 225,4174578,250.00,
158,18,Contrast 25, Direction 225,4174568,250.00,
159,4,Contrast 100, Direction 45,4174576,250.00,
160,16,Contrast 100, Direction 225,4174567,250.00,
161,1,Contrast 100, Direction 0,4174567,250.00,
162,16,Contrast 100, Direction 225,4174576,250.00,
163,3,Contrast 25, Direction 0,4174568,250.00,
164,13,Contrast 100, Direction 180,4174573,250.00,
165,12,Contrast 25, Direction 135,4174569,250.00,
166,3,Contrast 25, Direction 0,4174566,250.00,
167,18,Contrast 25, Direction 225,4174568,250.00,
168,8,Contrast 50, Direction 90,4174567,250.00,
169,4,Contrast 100, Direction 45,4174566,250.00,
170,21,Contrast 25, Direction 270,4174575,250.00,
171,24,Contrast 25, Direction 315,4174569,250.00,
172,20,Contrast 50, Direction 270,4174567,250.00,
173,5,Contrast 50, Direction 45,4174568,250.00,
174,10,Contrast 100, Direction 135,4174569,250.00,
175,5,Contrast 50, Direction 45,4174567,250.00,
176,16,Contrast 100, Direction 225,4174568,250.00,
177,22,Contrast 100, Direction 315,4174570,250.00,
178,16,Contrast 100, Direction 225,4174568,250.00,
179,15,Contrast 25, Direction 180,4174567,250.00,
180,9,Contrast 25, Direction 90,4174574,250.00,
181,2,Contrast 50, Direction 0,4174568,250.00,
182,16,Contrast 100, Direction 225,4174567,250.00,
183,19,Contrast 100, Direction 270,4174573,250.00,
184,23,Contrast 50, Direction 315,4174568,250.00,
185,9,Contrast 25, Direction 90,4174568,250.00,
186,21,Contrast 25, Direction 270,4174574,250.00,
187,17,Contrast 50, Direction 225,4174568,250.00,
188,17,Contrast 50, Direction 225,4174566,250.00,
189,16,Contrast 100, Direction 225,4174568,250.00,
190,11,Contrast 50, Direction 135,4174575,250.00,
191,7,Contrast 100, Direction 90,4174567,250.00,
192,22,Contrast 100, Direction 315,4174568,250.00,
193,15,Contrast 25, Direction 180,4174568,250.00,
194,20,Contrast 50, Direction 270,4174567,250.00,
195,6,Contrast 25, Direction 45,4174568,250.00,
196,6,Contrast 25, Direction 45,4174568,250.00,
197,6,Contrast 25, Direction 45,4174575,250.00,
198,5,Contrast 50, Direction 45,4174568,250.00,
199,6,Contrast 25, Direction 45,4174566,250.00,
200,17,Contrast 50, Direction 225,4174575,250.00,
201,18,Contrast 25, Direction 225,4174567,250.00,
202,22,Contrast 100, Direction 315,4174565,250.00,
203,13,Contrast 100, Direction 180,4174567,250.00,
204,15,Contrast 25, Direction 180,4174567,250.00,
205,24,Contrast 25, Direction 315,4174575,250.00,
206,6,Contrast 25, Direction 45,4174568,250.00,
207,23,Contrast 50, Direction 315,4174574,250.00,
208,8,Contrast 50, Direction 90,4174575,250.00,
209,20,Contrast 50, Direction 270,4174568,250.00,
210,4,Contrast 100, Direction 45,4174567,250.00,
211,21,Contrast 25, Direction 270,4174567,250.00,
212,4,Contrast 100, Direction 45,4174568,250.00,
213,15,Contrast 25, Direction 180,4174567,250.00,
214,24,Contrast 25, Direction 315,4174567,250.00,
215,21,Contrast 25, Direction 270,4174568,250.00,
216,20,Contrast 50, Direction 270,4174565,250.00,
217,24,Contrast 25, Direction 315,4174575,250.00,
218,15,Contrast 25, Direction 180,4174568,250.00,
219,11,Contrast 50, Direction 135,4174566,250.00,
220,21,Contrast 25, Direction 270,4174574,250.00,
221,5,Contrast 50, Direction 45,4174574,250.00,
222,2,Contrast 50, Direction 0,4174574,250.00,
223,14,Contrast 50, Direction 180,4174568,250.00,
224,16,Contrast 100, Direction 225,4174565,250.00,
225,9,Contrast 25, Direction 90,4174575,250.00,
226,10,Contrast 100, Direction 135,4174568,250.00,
227,23,Contrast 50, Direction 315,4174568,250.00,
228,10,Contrast 100, Direction 135,4174567,250.00,
229,23,Contrast 50, Direction 315,4174568,250.00,
230,15,Contrast 25, Direction 180,4174566,250.00,
231,2,Contrast 50, Direction 0,4174567,250.00,
232,17,Contrast 50, Direction 225,4174568,250.00,
233,24,Contrast 25, Direction 315,4174574,250.00,
234,22,Contrast 100, Direction 315,4174568,250.00,
235,8,Contrast 50, Direction 90,4174567,250.00,
236,9,Contrast 25, Direction 90,4174568,250.00,
237,13,Contrast 100, Direction 180,4174566,250.00,
238,18,Contrast 25, Direction 225,4174566,250.00,
239,18,Contrast 25, Direction 225,4174568,250.00,
240,20,Contrast 50, Direction 270,4174568,250.00,
